age,gender,covid_distancing,covid_masks,vaccinated,self_rated_mental_health,ethnicity,hours,occupation,work_from_home,income,educational_attainment
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,Middle Eastern,48,Management,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,Asian,3,Natural and applied sciences,Hybrid,"Less than $30,000",Some College
40 to 49 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,10,"education, law and social, community, and government services",Work from Home Only,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, two doses",Positive,White,30,Management,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
60 years and older,Man,Somewhat,Somewhat,"Yes, one dose",Negative,White,70,Natural resources and agriculture,Work from Home Only,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Not at all,Somewhat,"Yes, two doses",Positive,White,7,Natural resources and agriculture,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
50 to 59 years-old,Man,Somewhat,Very Closely,No,Positive,Indigenous,30,Health,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",30,Health,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Somewhat,"Yes, two doses",Positive,White,20,Sales and service,Hybrid,"$60,000 to $89,999",Some College
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,7,"Trades, transport and equipment operators",Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Not at all,No,Negative,Other,37.5,Sales and service,Do Not Work from Home,"Less than $30,000",Some College
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,White,5,Sales and service,Hybrid,"$30,000 to $59,999",High School Diploma or Lower
60 years and older,Woman,Somewhat,Very Closely,"Yes, two doses",Positive,White,20,Health,Work from Home Only,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,Asian,6,Natural resources and agriculture,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Negative,White,40,"education, law and social, community, and government services",Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",40,Sales and service,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,White,19,Health,Hybrid,"$60,000 to $89,999",High School Diploma or Lower
18 to 29 years-old,Woman,Not at all,Somewhat,No,Negative,Other,16,Sales and service,Do Not Work from Home,"Less than $30,000",High School Diploma or Lower
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,Other,8,Health,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,Other,30,Natural and applied sciences,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Somewhat,"Yes, two doses",Positive,White,30,Business,Hybrid,"$90,000 or more",Some College
18 to 29 years-old,Man,Somewhat,Not at all,"Yes, one dose",Positive,White,35,Natural and applied sciences,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,48,Management,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Somewhat,Very Closely,No,Positive,White,40,Health,Do Not Work from Home,"$30,000 to $59,999",High School Diploma or Lower
40 to 49 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,Indigenous,7,Health,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
60 years and older,Man,Very Closely,Very Closely,"Yes, one dose",Negative,White,6,Sales and service,Do Not Work from Home,"Less than $30,000",Some College
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,White,40,Management,Do Not Work from Home,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,35,Business,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
50 to 59 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,White,25,"education, law and social, community, and government services",Work from Home Only,"Less than $30,000",Bachelor's Degree or Higher
40 to 49 years-old,Man,Very Closely,Very Closely,No,Positive,White,20,Sales and service,Hybrid,"Less than $30,000",High School Diploma or Lower
18 to 29 years-old,Man,Very Closely,Somewhat,"Yes, one dose",Positive,"African, Caribbean, or Black ",40,Sales and service,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
60 years and older,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,Asian,20,Management,Work from Home Only,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,45,"education, law and social, community, and government services",Work from Home Only,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,White,35,"education, law and social, community, and government services",Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
60 years and older,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,40,Management,Hybrid,"$60,000 to $89,999",Some College
18 to 29 years-old,Man,Somewhat,Not at all,"Yes, one dose",Positive,White,5,Management,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
50 to 59 years-old,Woman,Somewhat,Very Closely,"Yes, two doses",Positive,White,35,Health,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,No,Positive,White,10,"education, law and social, community, and government services",Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
50 to 59 years-old,Woman,Somewhat,Somewhat,No,Positive,Other,40,Sales and service,Do Not Work from Home,"$90,000 or more",Some College
18 to 29 years-old,Man,Very Closely,Somewhat,"Yes, one dose",Positive,Other,39,"Trades, transport and equipment operators",Work from Home Only,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",10,Sales and service,Hybrid,"$30,000 to $59,999",Some College
50 to 59 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,White,5,Health,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Positive,White,20,Business,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
60 years and older,Man,Very Closely,Very Closely,No,Negative,White,45,Natural resources and agriculture,Hybrid,"$60,000 to $89,999",High School Diploma or Lower
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,White,8,Sales and service,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,35,Natural and applied sciences,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
50 to 59 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Negative,White,40,"education, law and social, community, and government services",Do Not Work from Home,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,Indigenous,8,Business,Hybrid,"$60,000 to $89,999",Some College
60 years and older,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,White,37,Business,Work from Home Only,"$30,000 to $59,999",Some College
60 years and older,Man,Very Closely,Somewhat,"Yes, one dose",Negative,White,5,"education, law and social, community, and government services",Work from Home Only,"Less than $30,000",Bachelor's Degree or Higher
60 years and older,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,15,"education, law and social, community, and government services",Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Very Closely,No,Positive,White,40,Management,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,6,Natural resources and agriculture,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Man,Not at all,Somewhat,"Yes, one dose",Positive,White,30,Business,Hybrid,"$30,000 to $59,999",Some College
50 to 59 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Negative,White,40,Business,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Somewhat,No,Positive,Middle Eastern,8,"Trades, transport and equipment operators",Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Woman,Very Closely,Very Closely,No,Positive,White,28,Health,Work from Home Only,"$30,000 to $59,999",Bachelor's Degree or Higher
60 years and older,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,10,"education, law and social, community, and government services",Work from Home Only,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,White,35,Sales and service,Hybrid,"$60,000 to $89,999",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,No,Positive,White,2,"education, law and social, community, and government services",Work from Home Only,"$60,000 to $89,999",High School Diploma or Lower
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Negative,Asian,49,"education, law and social, community, and government services",Do Not Work from Home,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Somewhat,"Yes, one dose",Positive,White,15,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
50 to 59 years-old,Woman,Somewhat,Very Closely,No,Negative,White,50,Management,Work from Home Only,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,No,Positive,Asian,40,Business,Work from Home Only,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,No,Positive,White,37.5,"education, law and social, community, and government services",Work from Home Only,"$90,000 or more",Bachelor's Degree or Higher
60 years and older,Man,Somewhat,Very Closely,"Yes, two doses",Positive,Other,2,"education, law and social, community, and government services",Work from Home Only,"$60,000 to $89,999",Bachelor's Degree or Higher
50 to 59 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,Indigenous,35,Sales and service,Do Not Work from Home,"$30,000 to $59,999",Some College
18 to 29 years-old,Man,Not at all,Very Closely,"Yes, one dose",Positive,Asian,40,Sales and service,Hybrid,"Less than $30,000",High School Diploma or Lower
18 to 29 years-old,Non-binary,Somewhat,Very Closely,No,Positive,White,6,Management,Hybrid,"$60,000 to $89,999",Some College
40 to 49 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,Asian,37.5,Sales and service,Work from Home Only,"Less than $30,000",High School Diploma or Lower
50 to 59 years-old,Man,Not at all,Somewhat,"Yes, two doses",Negative,White,40,Sales and service,Hybrid,"$60,000 to $89,999",Some College
50 to 59 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Negative,White,40,"education, law and social, community, and government services",Work from Home Only,"$30,000 to $59,999",Bachelor's Degree or Higher
40 to 49 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,30,Management,Hybrid,"Less than $30,000",High School Diploma or Lower
18 to 29 years-old,Woman,Somewhat,Somewhat,No,Negative,White,4,"education, law and social, community, and government services",Hybrid,"Less than $30,000",High School Diploma or Lower
40 to 49 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Negative,White,40,Sales and service,Do Not Work from Home,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Somewhat,"Yes, one dose",Positive,Other,5,Business,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,6,Natural resources and agriculture,Hybrid,"$30,000 to $59,999",Some College
60 years and older,Woman,Somewhat,Somewhat,No,Negative,White,50,Management,Hybrid,"$30,000 to $59,999",High School Diploma or Lower
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, two doses",Positive,"African, Caribbean, or Black ",8,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",High School Diploma or Lower
60 years and older,Woman,Somewhat,Very Closely,"Yes, two doses",Positive,White,26,Health,Do Not Work from Home,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,3,"education, law and social, community, and government services",Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,3,"education, law and social, community, and government services",Hybrid,"Less than $30,000",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,White,20,"art, culture, recreation and sport",Work from Home Only,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,20,Business,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Somewhat,"Yes, one dose",Positive,Indigenous,3,Natural and applied sciences,Work from Home Only,"$30,000 to $59,999",Some College
18 to 29 years-old,Man,Somewhat,Very Closely,No,Positive,White,25,"education, law and social, community, and government services",Hybrid,"$90,000 or more",High School Diploma or Lower
50 to 59 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,White,35,"education, law and social, community, and government services",Hybrid,"$60,000 to $89,999",Some College
60 years and older,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,White,30,Sales and service,Do Not Work from Home,"$60,000 to $89,999",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Somewhat,Very Closely,"Yes, two doses",Positive,White,60,"education, law and social, community, and government services",Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,Other,20,Natural resources and agriculture,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,White,30,Sales and service,Hybrid,"Less than $30,000",High School Diploma or Lower
18 to 29 years-old,Man,Somewhat,Somewhat,No,Positive,White,14,Health,Work from Home Only,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,Asian,40,Management,Work from Home Only,"Less than $30,000",Bachelor's Degree or Higher
60 years and older,Man,Somewhat,Very Closely,"Yes, one dose",Negative,White,35,Sales and service,Do Not Work from Home,"$30,000 to $59,999",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,30,"art, culture, recreation and sport",Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",35,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,White,6,Sales and service,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",16,"art, culture, recreation and sport",Hybrid,"$30,000 to $59,999",Some College
40 to 49 years-old,Non-binary,Not at all,Somewhat,"Yes, one dose",Positive,Asian,37,Natural resources and agriculture,Do Not Work from Home,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Very Closely,No,Negative,White,35,"art, culture, recreation and sport",Work from Home Only,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,White,30,Business,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Non-binary,Somewhat,Very Closely,"Yes, two doses",Negative,Asian,4,"Trades, transport and equipment operators",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
50 to 59 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,White,35,Business,Work from Home Only,"$90,000 or more",Some College
60 years and older,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,White,16,"education, law and social, community, and government services",Do Not Work from Home,"$30,000 to $59,999",Some College
60 years and older,Man,Somewhat,Very Closely,No,Negative,White,20,Management,Work from Home Only,"$30,000 to $59,999",Some College
60 years and older,Man,Very Closely,Very Closely,"Yes, one dose",Positive,Indigenous,10,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",High School Diploma or Lower
18 to 29 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,35,Natural and applied sciences,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
50 to 59 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Negative,White,25,Sales and service,Do Not Work from Home,"Less than $30,000",Some College
40 to 49 years-old,Woman,Somewhat,Very Closely,No,Negative,White,42.5,Sales and service,Do Not Work from Home,"$30,000 to $59,999",Some College
30 to 39 years-old,Woman,Somewhat,Somewhat,No,Positive,White,40,"education, law and social, community, and government services",Do Not Work from Home,"$90,000 or more",Bachelor's Degree or Higher
50 to 59 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Positive,White,37,Health,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
40 to 49 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,80,"education, law and social, community, and government services",Hybrid,"Less than $30,000",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Somewhat,Very Closely,"Yes, two doses",Negative,White,21,Sales and service,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Somewhat,"Yes, one dose",Positive,"African, Caribbean, or Black ",40,Sales and service,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",40,Natural and applied sciences,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Very Closely,Very Closely,No,Negative,White,40,Health,Do Not Work from Home,"$60,000 to $89,999",Some College
18 to 29 years-old,Woman,Not at all,Somewhat,"Yes, one dose",Positive,White,40,Business,Hybrid,"$60,000 to $89,999",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,3,"education, law and social, community, and government services",Hybrid,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Not at all,Very Closely,"Yes, one dose",Positive,White,30,Business,Hybrid,"$60,000 to $89,999",Some College
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,50,Management,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Somewhat,Very Closely,"Yes, two doses",Positive,White,8,Health,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Very Closely,No,Negative,White,20,Sales and service,Work from Home Only,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Not at all,"Yes, one dose",Positive,White,5,Management,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
40 to 49 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,30,Manufacturing and utilities,Hybrid,"$60,000 to $89,999",Some College
50 to 59 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,White,40,Management,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,7,Health,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
50 to 59 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,24,Manufacturing and utilities,Do Not Work from Home,"Less than $30,000",High School Diploma or Lower
50 to 59 years-old,Man,Not at all,Somewhat,"Yes, two doses",Negative,White,40,Sales and service,Hybrid,"$60,000 to $89,999",Some College
50 to 59 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,White,45,"education, law and social, community, and government services",Work from Home Only,"$90,000 or more",Bachelor's Degree or Higher
60 years and older,Non-binary,Very Closely,Very Closely,"Yes, one dose",Positive,White,32,Natural resources and agriculture,Do Not Work from Home,"$60,000 to $89,999",Some College
50 to 59 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Negative,White,37.5,Health,Do Not Work from Home,"$60,000 to $89,999",High School Diploma or Lower
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,White,10,"education, law and social, community, and government services",Hybrid,"$60,000 to $89,999",High School Diploma or Lower
60 years and older,Man,Very Closely,Very Closely,"Yes, two doses",Negative,White,35,"education, law and social, community, and government services",Work from Home Only,"$30,000 to $59,999",Bachelor's Degree or Higher
40 to 49 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,18,Health,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Somewhat,"Yes, one dose",Positive,White,15,Health,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
50 to 59 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Negative,White,48,Management,Work from Home Only,"$60,000 to $89,999",Some College
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Positive,White,35,Health,Do Not Work from Home,"$60,000 to $89,999",Bachelor's Degree or Higher
50 to 59 years-old,Woman,Somewhat,Somewhat,"Yes, one dose",Negative,White,30,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
40 to 49 years-old,Non-binary,Somewhat,Very Closely,"Yes, one dose",Negative,White,40,"education, law and social, community, and government services",Do Not Work from Home,"$30,000 to $59,999",High School Diploma or Lower
30 to 39 years-old,Man,Somewhat,Somewhat,"Yes, two doses",Negative,White,40,Natural resources and agriculture,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
50 to 59 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,Other,25,Business,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,3,"education, law and social, community, and government services",Hybrid,"Less than $30,000",Bachelor's Degree or Higher
40 to 49 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,24,Management,Work from Home Only,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,35,Natural and applied sciences,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,35,Natural and applied sciences,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,30,Sales and service,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
50 to 59 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Negative,White,60,Business,Work from Home Only,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,No,Negative,White,40,Natural and applied sciences,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
50 to 59 years-old,Man,Not at all,Somewhat,"Yes, two doses",Negative,White,40,Sales and service,Hybrid,"$60,000 to $89,999",Some College
50 to 59 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Negative,White,10,"art, culture, recreation and sport",Hybrid,"Less than $30,000",Some College
40 to 49 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,White,30,"education, law and social, community, and government services",Work from Home Only,"$30,000 to $59,999",Bachelor's Degree or Higher
60 years and older,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,47,Management,Do Not Work from Home,"$60,000 to $89,999",High School Diploma or Lower
40 to 49 years-old,Woman,Not at all,Not at all,"Yes, one dose",Negative,Other,7,Sales and service,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
40 to 49 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,6,"education, law and social, community, and government services",Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,35,Business,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Man,Not at all,Very Closely,"Yes, two doses",Positive,"African, Caribbean, or Black ",35,Sales and service,Do Not Work from Home,"$30,000 to $59,999",Some College
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,Other,36.3,Business,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,No,Negative,Asian,50,Sales and service,Do Not Work from Home,"$30,000 to $59,999",Bachelor's Degree or Higher
60 years and older,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,5,"art, culture, recreation and sport",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,35,Health,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Woman,Somewhat,Somewhat,"Yes, one dose",Positive,White,12,Natural and applied sciences,Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Somewhat,Somewhat,"Yes, two doses",Positive,Other,40,Management,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Somewhat,No,Positive,White,22,"education, law and social, community, and government services",Hybrid,"$90,000 or more",High School Diploma or Lower
18 to 29 years-old,Man,Very Closely,Somewhat,"Yes, two doses",Positive,White,6,Sales and service,Hybrid,"Less than $30,000",High School Diploma or Lower
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, two doses",Negative,Other,3,"education, law and social, community, and government services",Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,Asian,5,Sales and service,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Positive,Asian,5,Management,Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,40,"art, culture, recreation and sport",Hybrid,"$90,000 or more",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Somewhat,Very Closely,No,Positive,White,4,Sales and service,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,Other,8,Health,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Woman,Very Closely,Somewhat,No,Positive,White,60,Natural and applied sciences,Work from Home Only,"$60,000 to $89,999",Some College
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,White,40,"art, culture, recreation and sport",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,Other,2,Natural resources and agriculture,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Very Closely,Very Closely,No,Negative,White,35,Health,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
60 years and older,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,35,"education, law and social, community, and government services",Work from Home Only,"$60,000 to $89,999",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Somewhat,Very Closely,No,Negative,White,30,Sales and service,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Man,Somewhat,Very Closely,No,Negative,White,15,Sales and service,Hybrid,"$30,000 to $59,999",High School Diploma or Lower
40 to 49 years-old,Woman,Very Closely,Very Closely,No,Positive,White,40,Management,Work from Home Only,"$60,000 to $89,999",Some College
50 to 59 years-old,Woman,Very Closely,Very Closely,No,Positive,White,10,Health,Hybrid,"Less than $30,000",Some College
